Informe,Cardex Detallado
Fecha Inicio,01/01/24
Fecha Fin,17/01/25
Periodo anterior,12/24
Cia. Doc.,Proyecto,Nombre Proyecto,3er.Producto,2do.Producto,Nombre Producto,Tipo Orden,Nro. Orden,Categ. LM,Nro. Batch,Fecha Movi,Fecha Contable,Percha,Tipo Movi,No Mov.,Existencia Inicial,Cant. Movi,Unidad,Precio Unitario,Costo Movi,Exist Final,Saldo Inicial,Saldo Final
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611104,CO4611104,BOTA;PVC;CON-PUNTERA;T-40,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"9,00","5,00",PR,"71350,6808",356753,"14,00",625773,982526
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310170,CO5310170,CAMISA;HOMBRE;L;AZUL;MANGA.LARGA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"5,00","2,00",UN,"47175,5574",94351,"7,00",244198,338549
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310172,CO5310172,CAMISA;HOMBRE;M;AZUL;MANGA.LARGA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"7,00","3,00",UN,"48552,0000",145656,"10,00",342541,488197
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310011,CO5310011,CAMISA;HOMBRE;S;AZUL;MANGA.LARGA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"5,00","3,00",UN,"34639,9143",103920,"8,00",226041,329961
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310013,CO5310013,CAMISA;HOMBRE;XL;AZUL;MANGA.LARGA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"6,00","3,00",UN,"48552,0000",145656,"9,00",291312,436968
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611167,CO4611167,CAMIBUSO;TIPO;POLO;XL;ROJO;C/REFLECTIVO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"14,00","22,00",UN,"43661,4306",960551,"36,00",611421,1571972
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611169,CO4611169,CAMIBUSO;TIPO;POLO;XXL;ROJO;C/REFLECTIVO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"6,00","2,00",UN,"43673,0000",87346,"8,00",262038,349384
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611159,CO4611159,CAMIBUSO;TIPO;POLO;L;ROJO;C/REFLECTIVO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"20,00","7,00",UN,"42789,1798",299524,"27,00",867280,1166804
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611105,CO4611105,BOTA;PVC;CON-PUNTERA;T-41,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"7,00","7,00",PR,"71596,8437",501178,"14,00",486712,987890
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611106,CO4611106,BOTA;PVC;CON-PUNTERA;T-42,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"6,00","7,00",PR,"62457,9109",437205,"13,00",413921,851126
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611107,CO4611107,BOTA;PVC;CON-PUNTERA;T-43,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"8,00","2,00",PR,"71519,0000",143038,"10,00",556244,699282
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611103,CO4611103,BOTA;PVC;CON-PUNTERA;T-39,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"6,00","4,00",PR,"71607,6875",286431,"10,00",412990,699421
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611148,CO4611148,BOTA;TIPO;INGENIERO;T-37CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"1,00","2,00",PR,"74137,0000",148274,"3,00",74137,222411
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611149,CO4611149,BOTA;TIPO;INGENIERO;T-38CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"1,00","2,00",PR,"78381,3333",156763,"3,00",78382,235145
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611152,CO4611152,BOTA;TIPO;INGENIERO;T-41CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"1,00","1,00",PR,"84093,3333",84093,"2,00",84093,168186
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611038,CO4611038,BOTA;CUERO;T-36;CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"3,00","3,00",PR,"74256,0000",222768,"6,00",239332,462100
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611039,CO4611039,BOTA;CUERO;T-37;CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"3,00","1,00",PR,"74256,0000",74256,"4,00",261879,336135
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611040,CO4611040,BOTA;CUERO;T-38;CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"2,00","3,00",PR,"74256,0000",222768,"5,00",176120,398888
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611043,CO4611043,BOTA;CUERO;T-41;CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"1,00","3,00",PR,"74256,0000",222768,"4,00",87401,310169
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611044,CO4611044,BOTA;CUERO;T-42;CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"3,00","7,00",PR,"57354,5397",401482,"10,00",224377,625859
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611045,CO4611045,BOTA;CUERO;T-43;CON-PUNTERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"7,00","3,00",PR,"73393,2500",220180,"10,00",585620,805800
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611101,CO4611101,BOTA;PVC;CON-PUNTERA;T-37,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"4,00","5,00",PR,"64936,5695",324683,"9,00",173164,497847
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611102,CO4611102,BOTA;PVC;CON-PUNTERA;T-38,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"8,00","1,00",PR,"71519,0000",71519,"9,00",579364,650883
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO1510015,CO1510015,ACEITE;HIDRAULICO;HD;ISO-464.6;AMARILLO;CLARO;GALON,,,D010,12253417,04/03/24,01/03/24,,II,24000001,"20,00","20,00",GA,"50902,3700",1018047,"40,00",945994,1964041
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO1510028,CO1510028,ACEITE;MOTOR;20W50;API;SJ/CF-4;43906;CLARO;GALON,,,D009,12253417,04/03/24,01/03/24,,II,24000001,"5,00","10,00",GA,"59946,2500",599463,"15,00",299732,899195
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610528,CO4610528,OVEROL;FONTANERO;PVC,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"3,00","3,00",UN,"62594,0000",187782,"6,00",187782,375564
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610416,CO4610416,PIEZA;RESPIRATORIA;MEDIA;CARASILICONA;7025;3M,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"6,00","1,00",UN,"106873,8889",106874,"7,00",677439,784313
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610428,CO4610428,RESPIRADOR;FULL.FACE;3M;6800;GRIS,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"3,00","2,00",UN,"525185,0000",1050370,"5,00",1577427,2627797
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610443,CO4610443,RETENEDOR;FILTRO;501;3MCARTUCHO,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"29,00","29,00",UN,"7111,7773",206242,"58,00",217684,423926
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,6003,CO4610366,CARTUCHO;VAPORES.ORGANICOS;GAS.ACIDO;6003;3M;UNIDAD,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"9,00","8,00",UN,"54009,0000",432072,"17,00",406570,838642
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610235,CO4610235,GUANTE;NYLON;PALMA;RECUBIERTANITRILO,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"24,00","11,00",PR,"5569,1961",61261,"35,00",206825,268086
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610259,CO4610259,GUANTE;VAQUETA;REFORZADO;PALMALARGO,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"15,00","52,00",PR,"9506,7643",494352,"67,00",142599,636951
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610210,CO4610210,GUANTE;NITRILO;G10-AZ;TALLALCAJAX100;KLEENGUARD,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"1,00","1,00",CX,"81084,0000",81084,"2,00",56594,137678
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610100,CO4610100,ESLINGA;Y;1.8MT;ABSORBEDORENERGIA;CERTIFICADA,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"7,00","8,00",UN,"288207,2500",2305658,"15,00",2017451,4323109
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4610124,CO4610124,LENTE;CLARO;ANTIEMPAÑANTE,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"12,00","35,00",UN,"7468,3759",261393,"47,00",89623,351016
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310009,CO5310009,GEL;ANTIBACTERIAL;DISPENSADOR;LITRO,,,D035,12253417,04/03/24,01/03/24,,II,24000001,",00","11,00",LT,"14149,7375",155647,"11,00",0,155647
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4710240,CO4710240,TRON;OXITRON;CUÑETEX20LT,,,D035,12253417,04/03/24,01/03/24,,II,24000001,",00","20,00",LT,"8586,9185",171738,"20,00",0,171738
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO1210064,CO1210064,SULFATO;ALUMINIO;TIPO-B;GRANUL,,,D004,12253417,04/03/24,01/03/24,,II,24000001,"1050,00","950,00",KG,"2158,5451",2050618,"2000,00",2266472,4317090
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4710177,CO4710177,FLOCULANTE;POLIMERO;CATIONICO25KG;CANECA,,,D004,12253417,04/03/24,01/03/24,,II,24000001,"5,00","5,00",CN,"411445,8889",2057229,"10,00",2057229,4114458
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO3010001,CO3010001,CAL;OXIDO;CALCIO;KG,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"475,00","475,00",KG,"2023,0000",960925,"950,00",960925,1921850
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310023,CO5310023,CAMISA;MUJER;L;AZUL;MANGA.LARGA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,",00","2,00",UN,"48552,0000",97104,"2,00",0,97104
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310024,CO5310024,CAMISA;MUJER;M;AZUL;MANGA.LARGA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"8,00","5,00",UN,"46118,6880",230593,"13,00",383323,613916
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310025,CO5310025,CAMISA;MUJER;S;AZUL;MANGA.LARGA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"7,00","7,00",UN,"48552,0000",339864,"14,00",341994,681858
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611201,CO4611201,GORRA;DRIL;ROJA;BEISBOLERA,,,D030,12253417,04/03/24,01/03/24,,II,24000001,",00","5,00",UN,"10710,0000",53550,"5,00",0,53550
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611211,CO4611211,JEAN;HOMBRE;OPERATIVO;T-28CINTA;REFLECTIVA;AZUL;LOGO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"13,00","2,00",UN,"39159,8347",78320,"15,00",510306,588626
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611212,CO4611212,JEAN;HOMBRE;OPERATIVO;T-30CINTA;REFLECTIVA;AZUL;LOGO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"10,00","6,00",UN,"38853,4584",233121,"16,00",392425,625546
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611214,CO4611214,JEAN;HOMBRE;OPERATIVO;T-34CINTA;REFLECTIVA;AZUL;LOGO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"22,00","9,00",UN,"39270,0000",353430,"31,00",863520,1216950
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611215,CO4611215,JEAN;HOMBRE;OPERATIVO;T-36CINTA;REFLECTIVA;AZUL;LOGO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"12,00","4,00",UN,"39145,0500",156580,"16,00",471240,627820
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611216,CO4611216,JEAN;HOMBRE;OPERATIVO;T-38CINTA;REFLECTIVA;AZUL;LOGO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,",00","7,00",UN,"39270,0000",274890,"7,00",0,274890
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611217,CO4611217,JEAN;HOMBRE;OPERATIVO;T-40CINTA;REFLECTIVA;AZUL;LOGO,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"5,00","9,00",UN,"39154,7778",352393,"14,00",196271,548664
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310041,CO5310041,PANTALON;DRIL;MUJER;T-10,,,D030,12253417,04/03/24,01/03/24,,II,24000001,",00","2,00",UN,"51389,5000",102779,"2,00",0,102779
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310042,CO5310042,PANTALON;DRIL;MUJER;T-12,,,D030,12253417,04/03/24,01/03/24,,II,24000001,",00","2,00",UN,"51538,8750",103078,"2,00",0,103078
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310043,CO5310043,PANTALON;DRIL;MUJER;T-14,,,D030,12253417,04/03/24,01/03/24,,II,24000001,",00","2,00",UN,"50950,7500",101902,"2,00",0,101902
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO5310051,CO5310051,PANTALON;HOMBRE;DRIL;T-32,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"2,00","2,00",UN,"51111,0000",102222,"4,00",102222,204444
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611323,CO4611323,TRAJE;IMPERMEABLE;LDOS-PIEZAS;CALIBRE 16,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"2,00","10,00",UN,"51051,0000",510510,"12,00",102102,612612
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611324,CO4611324,TRAJE;IMPERMEABLE;MDOS-PIEZAS;CALIBRE 16,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"7,00","8,00",UN,"50247,7500",401982,"15,00",351734,753716
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611325,CO4611325,TRAJE;IMPERMEABLE;SDOS-PIEZAS;CALIBRE 16,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"2,00","2,00",UN,"50694,0000",101388,"4,00",101388,202776
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611326,CO4611326,TRAJE;IMPERMEABLE;XLDOS-PIEZAS;CALIBRE 16,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"2,00","10,00",UN,"51051,0000",510510,"12,00",102102,612612
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611327,CO4611327,TRAJE;IMPERMEABLE;XXLDOS-PIEZAS;CALIBRE 16,,,D033,12253417,04/03/24,01/03/24,,II,24000001,"4,00","11,00",UN,"53728,5000",591014,"15,00",214912,805926
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611356,CO4611356,OVEROL;2 PIEZAS;DRIL;T-38;ROJO;S/PROTEC.LATER;HOMBRE,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"3,00","4,00",UN,"108736,2500",434945,"7,00",326209,761154
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4611358,CO4611358,OVEROL;2 PIEZAS;DRIL;T-40;ROJO;S/PROTEC.LATER;HOMBRE,,,D030,12253417,04/03/24,01/03/24,,II,24000001,"2,00","2,00",UN,"106386,0000",212772,"4,00",212772,425544
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4110098,CO4110098,SOLUCION;BUFFER;PH10;UNIDAD,,,D004,12253417,04/03/24,01/03/24,,II,24000001,",00","1,00",UN,"51158,0000",51158,"1,00",0,51158
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4110099,CO4110099,SOLUCION;BUFFER;PH4;UNIDAD,,,D004,12253417,04/03/24,01/03/24,,II,24000001,",00","1,00",UN,"51158,0000",51158,"1,00",0,51158
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4110100,CO4110100,SOLUCION;BUFFER;PH7;UNIDAD,,,D004,12253417,04/03/24,01/03/24,,II,24000001,",00","1,00",UN,"51158,0000",51158,"1,00",0,51158
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,21055,CO4110160,DPD;CLORO;LIBRE;10ML;SOBRE;POLVO;HACH;21055,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"3,00","5,00",UN,"99394,9304",496975,"8,00",298185,795160
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4110227,CO4110227,FILTRO;FIBRA;VIDRIO;47MM,,,D004,12253417,04/03/24,01/03/24,,II,24000001,"4,00","2,00",UN,"122123,7500",244248,"6,00",302082,546330
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,2125815,CO4110445,SET;REACTIVOS;DQO;RANGO.BAJO;3-150MG/L;CAJA;150UN;150PPM,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"2,00","2,00",UN,"994571,1134",1989142,"4,00",1989142,3978284
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,HI70300L,CO4110481,SOLUC;ALMACENAMIENTO;ELECTRODO;500ML;HANNA;HI70300L,,,D004,12253417,04/03/24,01/03/24,,II,24000001,"1,00","1,00",UN,"66033,0000",66033,"2,00",66033,132066
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,2106769,CO4110516,REACTIVO;SULFAVER4;SOBRE;DETERM.SULFATO;2-70MG/L;HACH,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"2,00","2,00",UN,"124131,1900",248262,"4,00",248262,496524
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO3100560,CO3100560,CINTA;AISLAN;18MM;18M;NEGRO,,,D029,12253417,04/03/24,01/03/24,,II,24000001,",00","23,00",UN,"7473,7174",171896,"23,00",0,171896
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO2710470,CO2710470,"REMACHADORA;MANUAL;10"";BOQUILLAS.INTERCAMBIABLES",,,D032,12253417,04/03/24,01/03/24,,II,24000001,",00","2,00",UN,"84990,3200",169981,"2,00",0,169981
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4700033,CO4700033,DISPENSADOR;ACRILICO;500ML;APLIC.GEL.ANTIBACT,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"33,00","33,00",UN,"22115,0000",729795,"66,00",729795,1459590
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO1413505,CO1413505,PAPEL;HIGIENICO;ECONOMICO,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"18832,00","40319,00",RL,"626,6801",25267115,"59151,00",11805239,37072354
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO2700328,CO2700328,PISTOLA;REGULAB;PE;DISCOVER;APLIC:JARDIN,,,D029,12253417,04/03/24,01/03/24,,II,24000001,",00","10,00",UN,"32697,1111",326971,"10,00",0,326971
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO1413507,CO1413507,TOALLA;PAPEL;ECONOMICA;Z,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"1580,00","7477,00",UN,"4611,7194",34481826,"9057,00",7286578,41768404
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO4700030,CO4700030,TRAPERO;METAL;MOPA;MICROFIBRA,,,D035,12253417,04/03/24,01/03/24,,II,24000001,",00","10,00",UN,"13088,8030",130888,"10,00",0,130888
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,2125915,CO4110057,SET;REACTIVO;DQO;ALTO.RANGO;20-1500 MG/L;CAJA;150UN;HACH,,,D035,12253417,04/03/24,01/03/24,,II,24000001,"2,00","1,00",CX,"906517,7167",906518,"3,00",1989143,2895661
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,CO2502062,CO2502062,REFRIGERANTE;LARG.VIDA;RADIAD;TERPEL;VERDE,,,D015,12253417,04/03/24,01/03/24,,II,24000001,",00","11,00",GA,"91984,9383",1011834,"11,00",-1,1011833
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,B300,CO2701023,"ACOPLE;HEMBRA;MANGUERA;3""ROSCA;EXTERNA;B300;ALUMINIO",,,D029,12253417,04/03/24,01/03/24,,II,24000001,"8,00","12,00",UN,"40817,0000",489804,"20,00",326536,816340
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,F300,CO2701024,"ACOPLE;MACHO;MANGUERA;3""ROSCA;EXTERNA;F300;ALUMINIO",,,D029,12253417,04/03/24,01/03/24,,II,24000001,"8,00","6,00",UN,"33439,0000",200634,"14,00",256336,456970
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,C300,CO2701025,"ACOPLE;HEMBRA;MANGUERA;3""ESPIGA;C300;ALUMINIO",,,D029,12253417,04/03/24,01/03/24,,II,24000001,"2,00","12,00",UN,"46648,0000",559776,"14,00",93296,653072
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,E300,CO2701026,"ACOPLE;MACHO;MANGUERA;3""ESPIGA;E300;ALUMINIO",,,D029,12253417,04/03/24,01/03/24,,II,24000001,"6,00","12,00",UN,"34034,0000",408408,"18,00",204204,612612
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,E200,CO2701036,"ACOPLE;MACHO;MANGUERA;2""ESPIGA;E200;ALUMINIO",,,D029,12253417,04/03/24,01/03/24,,II,24000001,"4,00","6,00",UN,"25739,6667",154438,"10,00",102959,257397
01477,    1477BG03,BG GRAL SEPTICLEAN BOG BY VEOL,C200,CO2701037,"ACOPLE;HEMBRA;MANGUERA;2""ESPIGA;C200;ALUMINIO",,,D029,12253417,04/03/24,01/03/24,,II,24000001,"3,00","12,00",UN,"66378,1667",796538,"15,00",73014,869552
